title	keyword	ASTEXT(locations.geometry)
ミンジ・リー、ツアー２勝目、米女子ゴルフ。	米	POINT(28.2919557 -81.407571)
ルー米財務長官：円高「無秩序じゃない」　日米、認識に差	米	POINT(28.2919557 -81.407571)
ロック解除開示、米司法省はせず、ｉＰｈｏｎｅ巡り。	米	POINT(28.2919557 -81.407571)
免許停止処分の可能性、米血液検査ベンチャー。	米	POINT(28.2919557 -81.407571)
共和、党決選にらみ攻防、トランプ氏、ベテラン参謀起用、クルーズ氏、代議員に働きかけ（２０１６米大統領選）	米	POINT(28.2919557 -81.407571)
円高巡り日米温度差　麻生氏「強い懸念」　Ｇ２０閉幕　税逃れ対策で声明	米	POINT(28.2919557 -81.407571)
北朝鮮のミサイル、移動台から　米分析「破滅的失敗」	米	POINT(28.2919557 -81.407571)
北朝鮮ミサイル、安保理「強く非難」——米も挑発を非難。	米	POINT(28.2919557 -81.407571)
北朝鮮：中距離弾の発射失敗　技術力不足露呈　米韓指摘	米	POINT(28.2919557 -81.407571)
「淵に立つ」などカンヌ出品	カンヌ	POINT(43.552847 7.017369)
「現代」　向き合う２作　演劇注目作　北九州・福岡で	福岡	POINT(33.5903547 130.4017155)
ナカバヤシ、福岡の家具メーカー買収。	福岡	POINT(33.5903547 130.4017155)
「現代」　向き合う２作　演劇注目作　北九州・福岡で	北九州	POINT(33.8834093 130.8752161)
「秋山陽アルケーの海へ」展、東京・虎ノ門で開催中（日経からのお知らせ）	虎ノ門	POINT(35.662109 139.7436665)
「経験ない揺れ」　熊本震度７　生き埋め　響く悲鳴	熊本	POINT(32.8031004 130.7078911)
【プロ野球】熊本出身の阪神・岩貞、勇気づける１０Ｋ	熊本	POINT(32.8031004 130.7078911)
【主張】熊本で震度７　住民の安全確保最優先に	熊本	POINT(32.8031004 130.7078911)
がれきの山　無残　熊本地震　下敷き「もうダメだと」	熊本	POINT(32.8031004 130.7078911)
ゴルフ・東建ホームメイトカップ最終日　熊本へ思い　永野３位	熊本	POINT(32.8031004 130.7078911)
ゴルフ：東建ホームメイトカップ　熊本出身２人２位　２７歳永野と重永	熊本	POINT(32.8031004 130.7078911)
サッカー：Ｊ１第１ステージ　鹿島３−０湘南　古里・熊本へ届け　鹿島・植田、堅守光る　「絶対に勝つ」	熊本	POINT(32.8031004 130.7078911)
プロ野球：中日４−３阪神　熊本出身の阪神・岩貞、「切り替え」好投	熊本	POINT(32.8031004 130.7078911)
九州、震度６相次ぐ、熊本、死者４１人に、Ｍ７．３「本震」被害拡大、大分でも避難者。	熊本	POINT(32.8031004 130.7078911)
「進学しても女の子はキャバクラに行く」　自民・赤枝氏発言　非難集中	キャバクラ	POINT(43.0555522 141.3551933)
「都心で体験」車ファン開拓、ＢＭＷ、国内最大級の販売店、マツダ、ブランド魅力発信。	都心	POINT(35.894147 139.631282)
「都心で体験」車ファン開拓、ＢＭＷ、国内最大級の販売店、マツダ、ブランド魅力発信。	国内	POINT(41.9767328 -87.9046328)
「５回目核実験、北朝鮮が準備」、韓国大統領。	韓国	POINT(35.907757 127.766922)
【主張】韓国与党大敗　日米との協調路線堅持を	韓国	POINT(35.907757 127.766922)
【２０１６韓国総選挙　どうなる朴政権】（下）対北強硬策、維持できるか	韓国	POINT(35.907757 127.766922)
【ｉＲＯＮＮＡ発】舛添都知事　なぜ韓国人学校を優先させるのか	韓国	POINT(35.907757 127.766922)
クローズアップ２０１６：韓国総選挙　与党大敗　日韓関係に懸念　慰安婦・安保協力に障害	韓国	POINT(35.907757 127.766922)
セウォル号沈没２年　韓国で追悼	韓国	POINT(35.907757 127.766922)
ヘイト対策法案、修正求める　韓国民団	韓国	POINT(35.907757 127.766922)
前ソウル支局長　韓国紙「訴訟費の一切請求」　実際は一部のみ	韓国	POINT(35.907757 127.766922)
北、ムスダン複数展開　韓国が警戒	韓国	POINT(35.907757 127.766922)
北、近く核実験か　韓国報道	韓国	POINT(35.907757 127.766922)
北、近く核実験強行か　韓国報道	韓国	POINT(35.907757 127.766922)
北の貨物船をメキシコ没収　韓国報道、制裁関連か	韓国	POINT(35.907757 127.766922)
北朝鮮：発射失敗か　韓国国防省指摘　初の移動式中距離弾	韓国	POINT(35.907757 127.766922)
「５回目核実験、北朝鮮が準備」、韓国大統領。	北朝鮮	POINT(40.339852 127.510093)
アジア——変わるインバウンド消費、北朝鮮、大気圏内核実験の危惧（電子版ＳＥＬＥＣＴ）	北朝鮮	POINT(40.339852 127.510093)
グアム射程、米の反発必至　北朝鮮、弾道ミサイル失敗	北朝鮮	POINT(40.339852 127.510093)
中谷防衛相：北朝鮮中距離弾、配備報道に懸念	北朝鮮	POINT(40.339852 127.510093)
北朝鮮、ミサイル発射失敗——日本への飛来「確認されず」、官房長官。	北朝鮮	POINT(40.339852 127.510093)
北朝鮮、ミサイル発射失敗、中距離「ムスダン」か。	北朝鮮	POINT(40.339852 127.510093)
北朝鮮さらなる挑発も、ミサイル発射失敗、党大会まで継続か。	北朝鮮	POINT(40.339852 127.510093)
北朝鮮のミサイル、移動台から　米分析「破滅的失敗」	北朝鮮	POINT(40.339852 127.510093)
北朝鮮の挑発行動、自制求める、日ロ外相が会談。	北朝鮮	POINT(40.339852 127.510093)
北朝鮮ミサイル失敗　中距離弾道「ムスダン」か	北朝鮮	POINT(40.339852 127.510093)
北朝鮮：ミサイル発射　「強く非難」「明白な違反」　安保理声明	北朝鮮	POINT(40.339852 127.510093)
北朝鮮：中距離弾の発射失敗　技術力不足露呈　米韓指摘	北朝鮮	POINT(40.339852 127.510093)
北朝鮮：発射失敗か　韓国国防省指摘　初の移動式中距離弾	北朝鮮	POINT(40.339852 127.510093)
『痴人の愛』を歩く、映像の世界から作家を見直す——樫原辰郎著（読書）	世界	POINT(40.782132 -73.8272878)
世界の砂糖供給量、１１４０万トンの不足に、１５〜１６年度、英商社予測。	世界	POINT(40.782132 -73.8272878)
世界の鋼材需要、下方修正、１６年見通し０．８％減、国内鉄鋼、業績に影響も。	世界	POINT(40.782132 -73.8272878)
中上紀——漂流の通辞ダンケッチ、紀伊から世界へ出る人々（半歩遅れの読書術）	世界	POINT(40.782132 -73.8272878)
卓球五輪アジア予選、伊藤、世界女王破る、石川、出場権取れず。	世界	POINT(40.782132 -73.8272878)
【おもしろ競馬学】実は１強？　ダイヤの輝き	ダイヤ	POINT(35.674881 139.784363)
【ウェーブ産経】ホテルオークラ東京・大使夫人のガーデニングに２０組招待	ホテル	POINT(37.3790477 -80.0103486)
【地元ネタファイル】滋賀　琵琶湖の花火、ホテル屋上で鑑賞	ホテル	POINT(37.3790477 -80.0103486)
【ウェーブ産経】ポーラ美術館のフランス「美の近代」に３組	ポーラ美術館	POINT(35.256693 139.021227)
【ウェーブ産経】ランチパスポート中野版Ｖｏｌ．１　夕刊フジから発売中	フジ	POINT(23.2419997 69.6669324)
【ウェーブ産経】会員証提示で「黄金のアフガン展」割引	アフガン展	POINT(35.7188351 139.7765215)
【ウェーブ産経】試写会ご招待　エンド・オブ・キングダム　５０組	キングダム	POINT(38.7286065 -90.9840872)
【ウェーブ産経】試写会ご招待　世界から猫が消えたなら　２２組	招待 世界	POINT(22.727473 120.4054195)
【ウェーブ産経】５月２４日・勝浦で夕刊フジゴルフ大会　５人優待	勝浦	POINT(35.152283 140.3209324)
【チェルノブイリと福島】（下）被曝者４０００人、甲状腺がんに	福島	POINT(37.7502986 140.4675514)
【チェルノブイリと福島】（中）廃虚から「おとぎの町」へ移住	福島	POINT(37.7502986 140.4675514)
【チェルノブイリと福島】（中）廃虚から「おとぎの町」へ移住	おとぎの町	POINT(37.035417 140.034727)
【プロ野球】ハム打線爆発１３点　初打点の松本が火付け役	松本	POINT(36.2380381 137.9720341)
【プロ野球】巨人・立岡、故郷へ届け　奮闘３安打「今こそ」	故郷	POINT(38.163633 140.396717)
【リーダーの素顔】ミャンマー建国ファンドＣＥＯ・房広治さん（５６）	ミャンマー	POINT(21.916221 95.955974)
オンワード樫山：ミャンマー産宝飾品ブランド展開へ	ミャンマー	POINT(21.916221 95.955974)
ミャンマー大統領、８３人に恩赦（ダイジェスト）	ミャンマー	POINT(21.916221 95.955974)
ミャンマー政府：服役囚８３人に恩赦	ミャンマー	POINT(21.916221 95.955974)
【リーダーの素顔】ミャンマー建国ファンドＣＥＯ・房広治さん（５６）	建国	POINT(24.066107 120.549934)
