【選挙】１７日　山口・美祢市長　西岡晃氏が初当選	2016/4/18	産経新聞 東京本社版	68 語
【プロ野球】巨人２−１広島	2016/4/18	産経新聞 東京本社版	183 語
【プロ野球】ソフトバンク９−７楽天	2016/4/18	産経新聞 東京本社版	187 語
【選挙】１７日　東京・目黒区長　青木英二氏が４選	2016/4/18	産経新聞 東京本社版	80 語
【選挙】１７日　大阪・大東市長　東坂浩一氏が再選	2016/4/18	産経新聞 東京本社版	75 語
西部ワイオミング州でクルーズ氏勝利	2016/4/18	産経新聞 東京本社版	125 語
北、従業員送還と責任者の処罰要求	2016/4/18	産経新聞 東京本社版	142 語
【熊本地震】国土地理院、ドローンで撮影　ＨＰで動画公開	2016/4/18	産経新聞 東京本社版	213 語
新聞を一緒に　感想文コンクール実施	2016/4/18	産経新聞 東京本社版	167 語
【ＮＢＡ】プレーオフ　ウォリアーズ先勝	2016/4/18	産経新聞 東京本社版	314 語
【熊本地震】インフラへの影響	2016/4/18	産経新聞 東京本社版	495 語
Ｍ・デムーロ、騎乗停止　競馬	2016/4/18	産経新聞 東京本社版	196 語
【選挙】１７日　愛知・碧南市長　禰宜田政信氏が無投票で３選	2016/4/18	産経新聞 東京本社版	54 語
ラグビーＷ杯責任者　会場の花園視察「重要な競技場」	2016/4/18	産経新聞 東京本社版	244 語
首都大学野球は雨で中止	2016/4/18	産経新聞 東京本社版	78 語
暴風でＪ２金沢−愛媛戦中止	2016/4/18	産経新聞 東京本社版	134 語
田頭が初優勝　マスターズチャンピオン	2016/4/18	産経新聞 東京本社版	198 語
【東京五輪あと１５５８日】「北島ロス」とエンブレム	2016/4/18	産経新聞 東京本社版	426 語
各球場で募金活動　義援金も次々と　プロ野球	2016/4/18	産経新聞 東京本社版	264 語
【Ｊ２リーグ】第８節（１７日）	2016/4/18	産経新聞 東京本社版	64 語
【選挙】１７日　愛媛・西予市長　管家一夫氏が無投票で初当選	2016/4/18	産経新聞 東京本社版	72 語
ロズベルクが開幕３連勝　Ｆ１	2016/4/18	産経新聞 東京本社版	202 語
【選挙】１７日　富山・魚津市長　村椿晃氏が初当選	2016/4/18	産経新聞 東京本社版	68 語
【プロ野球】ヤクルト・松岡、地元思い力投	2016/4/18	産経新聞 東京本社版	286 語
【記録コーナー】１７日　プロボクシング	2016/4/18	産経新聞 東京本社版	216 語
