折々のことば：３７０　鷲田清一 	2016/4/15	朝刊	１総合
＜お知らせ＞朝日新聞社、オウンドメディアに進出　ＩＴベンチャーをグループ会社化 	2016/4/15	朝刊	１総合
（天声人語）地質年代にチバニアン 	2016/4/15	朝刊	１総合
インデックス　４月１５日 	2016/4/15	朝刊	１総合
（しつもん！ドラえもん：２２２３）とけい編 	2016/4/15	朝刊	１総合
熊本で震度７　Ｍ６．５　２人死亡、１人心肺停止　益城町、多数の家屋倒壊 	2016/4/15	朝刊	１総合
活断層近く、被害集中　益城町上空、識者分析　熊本地震 	2016/4/15	夕刊	１総合
素粒子 	2016/4/15	夕刊	１総合
９人死亡、８９０人負傷　熊本地震、余震続く　一時４万人超避難 	2016/4/15	夕刊	１総合
読まれたファイブ　朝日新聞ＤＩＧＩＴＡＬ　１４日 	2016/4/15	夕刊	１総合
（ひと）山本圭一さん　被災地の石巻市雄勝町でトレイルランニングを主催する 	2016/4/15	朝刊	２総合
政府、官邸に対策室設置　熊本地震 	2016/4/15	朝刊	２総合
（時時刻刻）内陸活断層、横ずれ　浅い震源、余震に警戒　熊本・益城で震度７ 	2016/4/15	朝刊	２総合
中国ＧＤＰ６．７％増、７年ぶり低水準　１〜３月期 	2016/4/15	夕刊	２総合
レバイン氏退任へ　メトロポリタン歌劇場音楽監督 	2016/4/15	夕刊	２総合
パソコン統合、白紙濃厚　溝埋まらず　東芝・富士通・ＶＡＩＯ 	2016/4/15	夕刊	２総合
政府、熊本地震対応を優先　激甚災害指定へ調査団　ＴＰＰ審議見合わせ 	2016/4/15	夕刊	２総合
ＯＥＣＤ、税逃れ対策提言　情報交換など求める　Ｇ２０に提出 	2016/4/15	夕刊	２総合
北朝鮮ミサイル失敗　中距離弾道「ムスダン」か 	2016/4/15	夕刊	２総合
デジタル版から　朝日新聞ＤＩＧＩＴＡＬ 	2016/4/15	夕刊	２総合
鈴木会長、最高顧問に　セブン＆アイＨＤ 	2016/4/15	夕刊	２総合
Ｇ２０開幕、為替を議論　米ワシントン 	2016/4/15	夕刊	２総合
（デジタル版から）今週のおすすめ動画 	2016/4/15	朝刊	３総合
パナマ文書、流出元にメス　地元検察、電子データ押収 	2016/4/15	朝刊	３総合
（てんでんこ）防潮堤：９　共闘 	2016/4/15	朝刊	３総合
グランプリに「春の約束」　第２回松田優作賞 	2016/4/15	夕刊	夕刊ｂｅ金曜１面
こころの旅、だれにでも　「さざなみ」に主演、シャーロット・ランプリング 	2016/4/15	夕刊	夕刊ｂｅ金曜１面
（プレミアシート）「スポットライト　世紀のスクープ」　良心と正義、実直に真実追う 	2016/4/15	夕刊	夕刊ｂｅ金曜１面
連合、民進の出方探る　対応方針後退、「考え共有に時間」 	2016/4/15	朝刊	４総合
衆院選、野党共闘は効く？　前回票合算→５９区逆転の試算　与党警戒、野合と批判 	2016/4/15	朝刊	４総合
首相動静　１４日 	2016/4/15	朝刊	４総合
共産、衆院選６人公認 	2016/4/15	朝刊	４総合
ママの会「安保法廃止を」 	2016/4/15	朝刊	４総合
社民、参院選１人推薦 	2016/4/15	朝刊	４総合
傍受拡大、対テロが旗印　目立つ捜査拡充、乱用に懸念　刑事司法改革審議、参院委で再開 	2016/4/15	朝刊	４総合
生乳流通自由化、自民で反対決議　農水調査会 	2016/4/15	朝刊	４総合
「参院を地域の代表に」　全国知事会特別委 	2016/4/15	朝刊	４総合
（評・映画）「花、香る歌」　歌も愛も、抑圧されながら 	2016/4/15	夕刊	文化芸能
愛を描き、自由問いかける　ジャ・ジャンクー監督「山河ノスタルジア」 	2016/4/15	夕刊	文化芸能
（評・映画）「モヒカン故郷に帰る」　重いテーマ、軽く心地よく 	2016/4/15	夕刊	文化芸能
新作１２本、旧作２本を上映　イタリア映画祭２０１６、２９日開幕 	2016/4/15	夕刊	文化芸能
（評・映画）「グランドフィナーレ」　行き交う個性的な宿泊客 	2016/4/15	夕刊	文化芸能
スマホ長期割、広がるか　ドコモ、先陣切り引き下げ 	2016/4/15	朝刊	５総合
「患者申し出療養」課題も　申請に半年以上　未承認薬なら高額　評価会議初会合 	2016/4/15	朝刊	５総合
自閉症診断、客観指標へ一歩　脳データ、ＡＩで解析 	2016/4/15	朝刊	５総合
健康増進めざし法案　超党派議連 	2016/4/15	朝刊	５総合
