熊本地震：スポーツ界も影響　社会人野球ＪＡＢＡ岡山大会　熊本市チーム、リーグ戦棄権	2016/4/15	東京夕刊	13頁	運動面
社告：子どもたちへ歌のエール　「森山良子　ｗｉｔｈ　ＦＲＩＥＮＤＳ」７月６日公演　渋谷でチャリティーコンサート	2016/4/15	東京夕刊	14頁	社会面
米大リーグ：レンジャーズ・ダル「すごく楽しめた」　右肘手術後初、フリー打撃登板	2016/4/15	東京夕刊	13頁	運動面
テニス：シャラポワ処分、ＩＴＦが聴聞会　ＷＡＤＡ勧告に従い	2016/4/15	東京夕刊	13頁	運動面
テニス：全仏オープン　錦織、ダニエルら予選免除	2016/4/15	東京夕刊	13頁	運動面
外交青書：南シナ海「重要な関心事」　中国の記述増加　１６年版	2016/4/15	東京夕刊	11頁	国際面
満月の泥枕：／８６＝道尾秀介　山本重也・画	2016/4/15	東京夕刊	13頁	運動面
トップニュース：１４日	2016/4/15	東京夕刊	11頁	国際面
熊本地震：大地の悲鳴	2016/4/15	東京夕刊	3頁	総合面
近事片々：７、６、５……	2016/4/15	東京夕刊	1頁	政治面
中国：成長率減速６．７％　１〜３月、７年ぶり低水準	2016/4/15	東京夕刊	1頁	政治面
熊本地震：死者９人　７８４人負傷、１．５万人避難	2016/4/15	東京夕刊	1頁	政治面
母と乳：第３部　生後のリスク／中　医療者の適切な介入を	2016/4/15	東京朝刊	15頁	家庭面
発信箱：現金悪玉論＝福本容子	2016/4/15	東京朝刊	10頁	内政面
みんなの広場：アベノミクスより財政再建＝無職・吉田貞雄・７１	2016/4/15	東京朝刊	10頁	内政面
みんなの広場：ＮＨＫ　政権の広報番組か＝無職・上田健・７３	2016/4/15	東京朝刊	10頁	内政面
くらしナビ・気象・防災：安否の伝言、ネットで届け	2016/4/15	東京朝刊	12頁	家庭面
みんなの広場：裁判傍聴し社会の見方変化＝高校生・岩井大輝・１５	2016/4/15	東京朝刊	10頁	内政面
みんなの広場：アフリカでホームステイ経験＝中学生・高橋英資・１４	2016/4/15	東京朝刊	10頁	内政面
投書デスクから：２万人近い死者・行方不明者を出した東日本大震災から…	2016/4/15	東京朝刊	10頁	内政面
お天気なるほドリ：東日本大震災の時は電話つながったの？＝回答・工藤昭久	2016/4/15	東京朝刊	12頁	家庭面
記者の目：栃木女児殺害　被告に有罪判決＝野口麗子（宇都宮支局）	2016/4/15	東京朝刊	10頁	内政面
ひまわりＥＹＥ：冬と春の間の雷	2016/4/15	東京朝刊	12頁	家庭面
女の気持ち：義妹の執念　盛岡市・匿名希望（パート・６１歳）	2016/4/15	東京朝刊	15頁	家庭面
論点：民主主義の核心とは　インタビュー　森政稔・東京大教授（政治思想）	2016/4/15	東京朝刊	11頁	解説面
食卓の一品：タイの早煮	2016/4/15	東京朝刊	15頁	家庭面
ＢＳ未来館：大人の歌謡をたっぷりと	2016/4/15	東京朝刊	21頁	芸能面
我らがパラダイス：／９４　八　まずやってみよう／２＝林真理子　横尾智子・画	2016/4/15	東京朝刊	15頁	家庭面
視聴室：新番組・私結婚できないんじゃなくて、しないんです 	2016/4/15	東京朝刊	28頁	芸能面
クローズアップ２０１６：韓国総選挙　与党大敗　日韓関係に懸念　慰安婦・安保協力に障害	2016/4/15	東京朝刊	3頁	三面
金言：核軍縮　象徴の地に＝西川恵	2016/4/15	東京朝刊	3頁	三面
質問なるほドリ：ゴルフ　リオ五輪にプロ出場？＝回答・熊田明裕	2016/4/15	東京朝刊	3頁	三面
仲畑流・万能川柳：難解な公式だけど美しい	2016/4/15	東京朝刊	3頁	三面
地震：熊本震度７　いきなり「ドンッ」	2016/4/15	東京朝刊	26頁	社会面
成年後見制度：専門職の不正最多　弁護士ら、財産着服など３７件	2016/4/15	東京朝刊	25頁	総合面
シベリア抑留：「終わらぬ戦後」シベリアに１１年　苦難、はがき５２通　帰国願い家族と交わす	2016/4/15	東京朝刊	26頁	社会面
シャープ：ロボホン、２１万３８４０円　来月発売	2016/4/15	東京朝刊	25頁	総合面
韓国総選挙：大統領選の構図変化　第２野党共同代表、存在感増す	2016/4/15	東京朝刊	9頁	国際面
韓国総選挙：大統領選の構図変化　第２野党共同代表、存在感増す　識者の話	2016/4/15	東京朝刊	9頁	国際面
シベリア抑留：「終わらぬ戦後」シベリアに１１年　苦難、はがき５２通　舞鶴引揚記念館・長嶺睦学芸員の話	2016/4/15	東京朝刊	26頁	社会面
自閉症：人工知能で判定　脳活動の特徴検出、専門医の診断と８５％一致	2016/4/15	東京朝刊	25頁	総合面
囲碁：井山７冠持ち越し　十段戦２勝１敗	2016/4/15	東京朝刊	26頁	社会面
エックス線天文衛星：ひとみトラブル、複数の要因調査　ＪＡＸＡ理事長	2016/4/15	東京朝刊	25頁	総合面
ＡＩＪ企業年金消失：前社長、実刑確定へ　上告棄却、懲役１５年	2016/4/15	東京朝刊	26頁	社会面
布施広の地球議：「原爆の図」に思う	2016/4/15	東京朝刊	8頁	国際面
社告：「毎日俳句大賞」作品を募集	2016/4/15	東京朝刊	25頁	総合面
南シナ海：米比軍、合同パトロール　中国を強くけん制	2016/4/15	東京朝刊	9頁	国際面
季語刻々：永き日やあくびうつして分れ行く	2016/4/15	東京朝刊	26頁	社会面
覚醒剤：元うたのお兄さん、所持容疑で現行犯逮捕	2016/4/15	東京朝刊	25頁	総合面
東日本大震災・大気中の環境放射線量：福島第１原発・正門周辺　１４日正午現在	2016/4/15	東京朝刊	26頁	社会面
南シナ海：台湾総統、太平島の領有権アピール	2016/4/15	東京朝刊	9頁	国際面
英国：国民投票、きょうから運動開始　ＥＵ離脱是非問う	2016/4/15	東京朝刊	9頁	国際面
トルコ首相補佐官：「対イスラエル正常化へ」	2016/4/15	東京朝刊	9頁	国際面
覚醒剤：元Ｃ—Ｃ—Ｂの田口容疑者、使用容疑で逮捕	2016/4/15	東京朝刊	25頁	総合面
プーチン露大統領：労働問題通じて実効支配を強調	2016/4/15	東京朝刊	9頁	国際面
川端康成文学賞：山田詠美さんに	2016/4/15	東京朝刊	25頁	総合面
当選番号：春爛漫くじ　第２３１５回東京都宝くじ　１４日	2016/4/15	東京朝刊	25頁	総合面
プロ野球：ヤクルト６−４巨人　優等生バレンティン	2016/4/15	東京朝刊	18頁	運動面
当選番号：春爛漫くじ　第２３７７回関東・中部・東北自治宝くじ　１４日	2016/4/15	東京朝刊	25頁	総合面
陸上：マラソン野口、引退　きょう表明　アテネ五輪「金」、日本記録保持	2016/4/15	東京朝刊	16頁	運動面
プロ野球：阪神５−２ＤｅＮＡ　トラ集中打	2016/4/15	東京朝刊	18頁	運動面
当選番号：第４３８２回ナンバーズ　１４日	2016/4/15	東京朝刊	25頁	総合面
がん大国白書：第１部　新薬の光と影／１０止　求められる費用適正化	2016/4/15	東京朝刊	2頁	二面
プロ野球：広島１０−１中日　丸、逆転２ラン	2016/4/15	東京朝刊	18頁	運動面
当選番号：第１０６２回ロト６　１４日	2016/4/15	東京朝刊	25頁	総合面
日露：きょう外相会談　北方領土、展望暗く	2016/4/15	東京朝刊	2頁	二面
プロ野球：巨人・長野、通算１００本塁打＝プロ野球２７６人目	2016/4/15	東京朝刊	18頁	運動面
リコール：ドア部品不具合、日産７２万台	2016/4/15	東京朝刊	25頁	総合面
リコール：排ガス漏れの恐れ、三菱自が１２万台	2016/4/15	東京朝刊	25頁	総合面
プロ野球：オリックス１−０日本ハム　オリ今季初連勝	2016/4/15	東京朝刊	18頁	運動面
リコール：突起でけがの恐れ、ダイハツが８万台	2016/4/15	東京朝刊	25頁	総合面
第６９回カンヌ国際映画祭：出品作決まる	2016/4/15	東京朝刊	25頁	総合面
プロ野球：ロッテ９−２楽天　涌井、無敗４勝目	2016/4/15	東京朝刊	18頁	運動面
論文盗用：筑波大の元准教授が不正	2016/4/15	東京朝刊	25頁	総合面
